mdb_id,name,wahlkreis_id,wahlkreis_name,fraktion,url,geburtsdatum,partei,mandatsart,img_url
2324,"Arlt, Johannes",17,Mecklenburgische Seenplatte II – Landkreis Rostock III,SPD,https://www.bundestag.de/abgeordnete/biografien/A/arlt_johannes-860828,23.04.1984,SPD,Direktwahl,https://www.bundestag.de/resource/image/863072/3x4/284/379/5f229293963f420ba64ed558be479fda/362D1BEE306F9405983F3F82F90B870E/arlt_johannes.jpg
1642,"Aschenberg-Dugnus, Christine",4,Rendsburg-Eckernförde,FDP,https://www.bundestag.de/abgeordnete/biografien/A/aschenberg_dugnus_christine-857094,22.09.1959,FDP,Landesliste,https://www.bundestag.de/resource/image/864076/3x4/284/379/ca83e60149acfafa8963fdee3709700b/761A907BD1362B085529F23A2A1E949F/aschenberg_dugnus_christine_gross.jpg
2325,"Audretsch, Andreas",82,Berlin-Neukölln,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/A/audretsch_andreas-860496,25.06.1984,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/861952/3x4/284/379/a76e387368c662969efab954cf3309ca/708B571EB3DE24637A105084BDA19482/audretsch_andreas.jpg
1773,"Auernhammer, Artur",241,Ansbach,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/auernhammer_artur-857084,09.03.1963,CSU,Direktwahl,https://www.bundestag.de/resource/image/864080/3x4/284/379/8fae22adf00fa40e05545c5769186827/9E4B2BCB6010A1F00417FAD7102A71EE/auernhammer_artur_gross.jpg
1653,"Aumer, Peter",233,Regensburg,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/aumer_peter-857090,17.04.1976,CSU,Direktwahl,https://www.bundestag.de/resource/image/864078/3x4/284/379/834942d38f210fd763b454cef38cc93d/1FBA414A1577435FBAC037B25A342311/aumer_peter_gross.jpg
2326,"Außendorf, Maik",100,Rheinisch-Bergischer Kreis,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/A/aussendorf_maik-860932,17.08.1971,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/863074/3x4/284/379/ce510ee3dfa9fa04cedc1c9d7c2d3e87/8014F7110EA19CC90BF1D90EC4A5EA8F/aussendorf_maik.jpg
2327,"Bacherle, Tobias B.",260,Böblingen,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/bacherle_tobias-860138,18.10.1994,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/863292/3x4/284/379/d878670d4bc6cc175ac99be8a1955858/08374F8B3466886590BEC969D169BBB8/bacherle_tobias.jpg
2328,"Bachmann, Carolin",161,Mittelsachsen,AfD,https://www.bundestag.de/abgeordnete/biografien/B/bachmann_carolin-863318,03.09.1988,AfD,Direktwahl,https://www.bundestag.de/resource/image/869734/3x4/284/379/dcf041f5e8d9ae0d7cbd3a0beac48e36/4EEEC1C60446BD14BE7F51401EC10AC4/bachmann_carolin.jpg
2023,"Badum, Lisa",236,Bamberg,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/badum_lisa-857148,02.10.1983,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/864566/3x4/284/379/fe88631f30e5c578e92b3eb017f7c9e1/991020C8B5F4675E74BDF91FEC536F17/badum_lisa_gross.jpg
1774,"Baehrens, Heike",263,Göppingen,SPD,https://www.bundestag.de/abgeordnete/biografien/B/baehrens_heike-857144,21.09.1955,SPD,Landesliste,https://www.bundestag.de/resource/image/864568/3x4/284/379/472aeffa39e6d220f4a4a6939dbef576/718788800E38E7DC8CD525C54B817D27/baehrens_heike_gross.jpg
1229,"Bär, Dorothee",248,Bad Kissingen,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/baer_dorothee-857110,19.04.1978,CSU,Direktwahl,https://www.bundestag.de/resource/image/864570/3x4/284/379/bf840fc3c395cfe57ed0ec924a279e97/9492361A8382F46B6B5EEB96C9990E25/baer_dorothee_gross.png
2329,"Bär, Karl",223,Bad Tölz-Wolfratshausen – Miesbach,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/baer_karl-860334,13.03.1985,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/862000/3x4/284/379/345f48c15ca4437546ee278b9b683fe5/230BFF3CBA95CA719C38FC70009D6DBC/bar_karl.jpg
1775,"Baerbock, Annalena",61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/baerbock_annalena-857150,15.12.1980,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/864550/3x4/284/379/9e575de462bbda5653f342b79c643c13/69D78AC7B65402F3DB8AE9DD9C447315/baerbock_annalena_gross.jpg
1776,"Bahr, Ulrike",252,Augsburg-Stadt,SPD,https://www.bundestag.de/abgeordnete/biografien/B/bahr_ulrike-857152,25.04.1964,SPD,Landesliste,https://www.bundestag.de/resource/image/864616/3x4/284/379/4e277e94b5a43c66c430c395896e2832/6EFB1DD091FE2E78EA031E82889C003A/bahr_ulrike_bild.jpg
2330,"Baldy, Daniel",205,Mainz,SPD,https://www.bundestag.de/abgeordnete/biografien/B/baldy_daniel-861186,25.09.1994,SPD,Direktwahl,https://www.bundestag.de/resource/image/861954/3x4/284/379/43f3d7698781fe29432f13c0399d4ad6/EF02D01E11B48CDC29FA28C8C2BCAEA7/baldy_daniel.jpg
2331,"Banaszak, Felix",116,Duisburg II,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/banaszak_felix-860904,24.10.1989,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/865586/3x4/284/379/248d66d7e007cdaa3c5e0a92b9595b57/0A26897D07B9905E2CE40A212692FD6D/banaszak_felix_gross.jpg
2288,"Baradari, Nezahat",149,Olpe – Märkischer Kreis I,SPD,https://www.bundestag.de/abgeordnete/biografien/B/baradari_nezahat-857122,15.08.1965,SPD,Landesliste,https://www.bundestag.de/resource/image/864578/3x4/284/379/8943bafb7fa39e97d78c696625adb425/B415984DB11ACC89EE063033634E24D7/baradari_nezahat_bild.jpg
1385,"Bareiß, Thomas",295,Zollernalb – Sigmaringen,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/bareiss_thomas-857138,15.02.1975,CDU,Direktwahl,https://www.bundestag.de/resource/image/864580/3x4/284/379/99ae7ba721f64d0a8c9ebaa1e5ca21da/36EC9853DC3A54C4A1D65E1CB9EF5135/bareiss_thomas_gross.jpg
2599,"Bartelt, Christian",16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,FDP,https://www.bundestag.de/abgeordnete/biografien/B/bartelt_christian-860200,16.09.1976,FDP,Landesliste,https://www.bundestag.de/resource/image/962970/3x4/284/379/ca89b1a1cca2d4ea63583e11c83680a4/584A1143B27212857CCB92A7A7DAE3A7/bartelt_christian_gross.jpg
1297,"Bartol, Sören",171,Marburg,SPD,https://www.bundestag.de/abgeordnete/biografien/B/bartol_soeren-857132,04.09.1974,SPD,Direktwahl,https://www.bundestag.de/resource/image/864582/3x4/284/379/9f91acf88faaad3b74fb553050d101ef/871EF62F7BD2CB7626FD432CF7F8A985/bartol_soeren_gross.jpg
973,"Bartsch, Dr. Dietmar",14,Rostock – Landkreis Rostock II,Gruppe Die Linke,https://www.bundestag.de/abgeordnete/biografien/B/bartsch_dietmar-857154,31.03.1958,DIE LINKE.,Landesliste,https://www.bundestag.de/resource/image/864584/3x4/284/379/4d33d1b1381ea53f857c87e2ebae96b0/66A7CCDE78D1271FF07779ED329A5B3B/bartsch_dietmar_gross.jpg
2593,"Bartz, Alexander",32,Cloppenburg – Vechta,SPD,https://www.bundestag.de/abgeordnete/biografien/B/bartz_alexander-920072,13.08.1984,SPD,Landesliste,https://www.bundestag.de/resource/image/920074/3x4/284/379/5c7d0683440c6f6bf6b42915b417ddc3/7AE1D89C232A1B1BC776C2DFB7D922F4/bartz_alexander_gross.jpg
1607,"Bas, Bärbel",115,Duisburg I,SPD,https://www.bundestag.de/abgeordnete/biografien/B/bas_baerbel-857120,03.05.1968,SPD,Direktwahl,https://www.bundestag.de/resource/image/864534/3x4/284/379/576e7b7cee34f367e48471f1ffca42d9/48E538AF04671CB2987850F8F28D0869/bas_baerbel_gross.jpg
2025,"Bauer, Nicole",228,Landshut,FDP,https://www.bundestag.de/abgeordnete/biografien/B/bauer_nicole-857140,19.03.1987,FDP,Landesliste,https://www.bundestag.de/resource/image/864586/3x4/284/379/efce21e1e21bfe8cb33b0ebb5c21590/7DFB0E2EE3B07423D95D76C47AD2DD2C/bauer_nicole_gross.jpg
2332,"Baum, Dr. Christina",276,Odenwald – Tauber,AfD,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-860218,21.03.1956,AfD,Landesliste,https://www.bundestag.de/resource/image/861962/3x4/284/379/284ed0f1512ba88be404674140b9f7fa/673351669543E69D12101262DE42DA0D/baum_christina.jpg
2026,"Baumann, Dr. Bernd",19,Hamburg-Altona,AfD,https://www.bundestag.de/abgeordnete/biografien/B/baumann_bernd-857160,31.01.1958,AfD,Landesliste,https://www.bundestag.de/resource/image/864614/3x4/284/379/dec67d7d940b25671e77262c11b29ba7/A29B02E8F61C04AE128B844F791355F8/baumann_bernd_gross.jpg
