mdb_id,address,street,postalcode,city,lat,lon
1785,"Bergheimer Str. 147, 69115 Heidelberg",Bergheimer Str. 147,69115,Heidelberg,49.40693445,8.676445852643116
1175,"Spenerweg 8, 35394 Gießen",Spenerweg 8,35394,Gießen,50.5917122,8.704089699999997
1175,"Altenburger Straße 16a, 36304 Alsfeld",Altenburger Straße 16a,36304,Alsfeld,50.7482786,9.269511
2043,"Daimler Str. 34, 71404 Korb",Daimler Str. 34,71404,Korb,48.83481835,9.367220557534306
2044,"Löninger Str. 1, 49661 Cloppenburg",Löninger Str. 1,49661,Cloppenburg,52.84277285,8.037382903567675
2044,"Große Straße 90, 49377 Vechta",Große Straße 90,49377,Vechta,52.730087,8.2889207
2045,"Jakobstraße 46, 90402 Nürnberg",Jakobstraße 46,90402,Nürnberg,49.4491648,11.0712983
1619,"Fischmarkt 12b, 38820 Halberstadt",Fischmarkt 12b,38820,Halberstadt,51.8955443,11.0518588
1619,"Vorderbreite 19, 06449 Aschersleben",Vorderbreite 19,06449,Aschersleben,51.756142600000004,11.457671509424781
2345,,,,,,
2046,"Silcherstraße 20, 73430 Aalen",Silcherstraße 20,73430,Aalen,48.8370898,10.0798032
1659,,,,,,
2047,"Fröbelstraße 5, 51643 Gummersbach",Fröbelstraße 5,51643,Gummersbach,51.0283523,7.56628076851112
2346,,,,,,
1701,"Rosenstraße 39, 88212 Ravensburg",Rosenstraße 39,88212,Ravensburg,47.7839961,9.6128878
2347,,,,,,
2299,"Stadtplatz 55, 84453 Mühldorf am Inn",Stadtplatz 55,84453,Mühldorf am Inn,48.2410335,12.5254865
2048,,,,,,
2049,"Siebleber Straße 2, 99867 Gotha",Siebleber Straße 2,99867,Gotha,50.9478235,10.704748341134044
2589,"Kirchstraße 5, 08280 Aue",Kirchstraße 5,08280,Aue,50.586189950000005,12.703673513173957
2348,,,,,,
1661,,,,,,
2051,,,,,,
2053,,,,,,
2349,,,,,,
1787,,,,,,
2054,,,,,,
2055,"Gablenberger Hauptstrasse 33, 70186 Stuttgart",Gablenberger Hauptstrasse 33,70186,Stuttgart,48.778806149999994,9.207356240747238
2056,"Muskauer Straße 73, 02943 Weisswasser",Muskauer Straße 73,02943,Weisswasser,51.5054483,14.64196605
