mdb_id,ausschuss_id,funktion
2439,a11,
1867,a11,
2440,a11,
1569,a11,
1869,a11,
2442,a11,
2443,a11,
2445,a11,
2444,a11,
2446,a11,
2447,a11,
2162,a11,
1872,a11,
2163,a11,
1752,a11,
2164,a11,
1631,a11,
1196,a11,
1241,a11,
2449,a11,stv.M.
2166,a11,
2167,a11,
2450,a11,
1605,a11,
1243,a11,
2451,a11,
2452,a11,stv.M.
2453,a11,
1621,a11,
1703,a11,
2454,a11,o.M.
2455,a11,
2290,a11,
1876,a11,
2456,a11,
2457,a11,
2173,a11,
2174,a11,
2459,a11,
2302,a11,
2460,a11,
2461,a11,
1458,a11,
1601,a11,
1347,a11,
2463,a11,
2462,a11,
2464,a11,
2465,a11,o.M.
779,a11,
2595,a11,
2466,a11,
2468,a11,
2469,a11,
1882,a11,
2178,a11,
2470,a11,
2471,a11,stv.M.
1652,a11,
1463,a11,
2472,a11,
1883,a11,
2473,a11,
1885,a11,
1625,a11,
2184,a11,
2474,a11,o.M.
2181,a11,
2183,a11,
2475,a11,
1718,a11,
2476,a11,
2477,a11,
2186,a11,
2187,a11,
1888,a11,
1469,a11,
2188,a11,
1470,a11,
2478,a11,
2479,a11,
2480,a11,stv.M.
2190,a11,
1291,a11,
1556,a11,o.M.
2192,a11,
1889,a11,
2194,a11,stv.M.
1309,a11,
2481,a11,o.M.
2482,a11,
2483,a11,o.M.
2195,a11,
2484,a11,
2196,a11,
2486,a11,
2485,a11,
2198,a11,
1077,a11,
2199,a11,
1622,a11,
1529,a11,
2487,a11,
2488,a11,
1895,a11,o.M.
1898,a11,
1899,a11,
1735,a11,
2489,a11,
2201,a11,
1896,a11,
2202,a11,
1475,a11,
2490,a11,
2203,a11,
2491,a11,
1900,a11,
2492,a11,
2493,a11,
2494,a11,o.M.
1085,a11,
1571,a11,
2495,a11,o.M.
2496,a11,o.M.
2205,a11,stv.M.
2206,a11,
2207,a11,stv.M.
1991,a11,
2498,a11,
2210,a11,stv.M.
2499,a11,
2211,a11,
2500,a11,stv.M.
2213,a11,o.M.
2214,a11,
1908,a11,
1909,a11,
2215,a11,
1912,a11,
788,a11,
1913,a11,
1914,a11,
2501,a11,
1915,a11,
429,a11,
2502,a11,
2503,a11,
2216,a11,
2504,a11,o.M.
2505,a11,
2506,a11,
2218,a11,
1916,a11,
2220,a11,
2507,a11,
1568,a11,
2221,a11,
1918,a11,
2508,a11,
2592,a11,
1484,a11,
1677,a11,
